dataset,class,count
netml2020,Sality,33
netml2020,Ramnit,400
netml2020,Cobalt,1379
netml2020,Downware,3849
netml2020,TrojanDownloader,4020
netml2020,BitCoinMiner,4074
netml2020,MinerTrojan,4732
netml2020,PUA,6162
netml2020,CCleaner,8139
netml2020,Artemis,8238
netml2020,Ursnif,8482
netml2020,Dridex,9208
netml2020,Adload,15289
netml2020,WebCompanion,15767
netml2020,Tinba,18627
netml2020,HTBot,30442
netml2020,MagicHound,31458
netml2020,TrickBot,37271
netml2020,Emotet,45907
netml2020,Trickster,57796
netml2020,benign,75995
cicids2017,webAttack,1617
cicids2017,ssh-patator,1972
cicids2017,ftp-patator,3168
cicids2017,DoS,23806
cicids2017,DDoS,36136
cicids2017,infiltration,53532
cicids2017,portScan,122430
cicids2017,benign,198455
